iter	Passed	Remaining
0	148	148329
1	150	74927
2	151	50326
3	152	38000
4	154	30697
5	155	25777
6	156	22252
7	158	19708
8	160	17662
9	161	16006
10	163	14665
11	164	13549
12	165	12600
13	167	11789
14	168	11081
15	171	10549
16	173	10014
17	174	9541
18	176	9113
19	178	8735
20	180	8401
21	181	8080
22	183	7806
23	185	7530
24	186	7275
25	187	7039
26	189	6823
27	190	6616
28	191	6423
29	193	6244
30	194	6080
31	195	5926
32	197	5778
33	198	5637
34	200	5516
35	201	5397
36	202	5278
37	204	5168
38	205	5069
39	207	4969
40	208	4874
41	210	4790
42	212	4718
43	214	4651
44	215	4578
45	217	4511
46	218	4440
47	220	4369
48	221	4300
49	223	4238
50	224	4182
51	226	4127
52	227	4071
53	229	4017
54	230	3967
55	232	3914
56	233	3866
57	234	3815
58	236	3767
59	237	3720
60	238	3675
61	240	3635
62	242	3613
63	244	3572
64	245	3530
65	246	3492
66	248	3459
67	249	3414
68	250	3377
69	251	3344
70	253	3313
71	255	3294
72	256	3260
73	257	3227
74	259	3195
75	260	3165
76	261	3135
77	262	3105
78	263	3076
79	265	3047
80	266	3019
81	267	2991
82	268	2964
83	269	2940
84	270	2910
85	271	2885
86	272	2857
87	273	2833
88	274	2810
89	275	2787
90	276	2764
91	277	2742
92	279	2721
93	280	2700
94	281	2679
95	282	2658
96	283	2640
97	285	2623
98	286	2604
99	287	2585
100	288	2567
101	289	2545
102	290	2528
103	291	2514
104	293	2499
105	294	2483
106	295	2467
107	296	2450
108	298	2436
109	299	2421
110	300	2405
111	301	2389
112	302	2374
113	303	2359
114	304	2344
115	305	2328
116	306	2314
117	307	2300
118	308	2284
119	309	2271
120	311	2259
121	312	2246
122	312	2230
123	313	2217
124	315	2205
125	316	2194
126	317	2182
127	318	2167
128	319	2156
129	320	2146
130	322	2136
131	323	2126
132	324	2116
133	325	2105
134	327	2095
135	328	2086
136	329	2076
137	330	2064
138	331	2055
139	332	2045
140	334	2035
141	335	2026
142	336	2017
143	337	2007
144	339	1999
145	343	2010
146	345	2002
147	346	1994
148	347	1987
149	349	1978
150	350	1969
151	351	1960
152	352	1952
153	354	1945
154	355	1937
155	356	1929
156	357	1921
157	359	1914
158	360	1907
159	361	1899
160	363	1892
161	364	1885
162	366	1880
163	367	1873
164	368	1866
165	371	1868
166	373	1861
167	375	1860
168	376	1853
169	378	1846
170	379	1840
171	380	1833
172	382	1828
173	383	1822
174	385	1816
175	386	1811
176	388	1805
177	389	1799
178	391	1793
179	392	1787
180	393	1778
181	394	1772
182	395	1767
183	397	1761
184	398	1756
185	399	1750
186	401	1745
187	402	1740
188	404	1734
189	405	1728
190	406	1723
191	408	1718
192	409	1714
193	411	1708
194	412	1703
195	416	1709
196	418	1705
197	419	1699
198	421	1695
199	423	1692
200	424	1687
201	425	1682
202	427	1677
203	428	1673
204	430	1669
205	431	1664
206	432	1658
207	434	1653
208	435	1647
209	436	1642
210	437	1637
211	439	1632
212	440	1626
213	441	1621
214	442	1616
215	443	1611
216	445	1605
217	446	1600
218	447	1595
219	448	1590
220	449	1585
221	450	1579
222	452	1575
223	453	1571
224	454	1567
225	456	1562
226	457	1557
227	458	1553
228	460	1549
229	461	1545
230	462	1540
231	464	1536
232	465	1532
233	466	1528
234	468	1524
235	470	1523
236	472	1520
237	473	1517
238	475	1513
239	476	1509
240	478	1505
241	479	1501
242	480	1497
