iter	Passed	Remaining
0	148	148843
1	149	74667
2	150	49917
3	150	37535
4	151	30175
5	152	25211
6	152	21668
7	153	19012
8	153	16955
9	154	15311
10	155	13961
11	155	12832
12	156	11883
13	157	11065
14	157	10354
15	158	9733
16	158	9184
17	159	8696
18	159	8258
19	160	7865
20	161	7511
21	161	7187
22	162	6891
23	162	6619
24	163	6369
25	163	6138
26	164	5924
27	164	5726
28	165	5545
29	166	5379
30	167	5222
31	167	5074
32	168	4933
33	168	4800
34	169	4673
35	170	4554
36	170	4441
37	171	4334
38	171	4231
39	172	4134
40	172	4042
41	173	3957
42	174	3873
43	174	3793
44	175	3716
45	175	3642
46	176	3572
47	176	3504
48	177	3440
49	177	3379
50	178	3320
51	178	3263
52	179	3208
53	180	3156
54	180	3106
55	181	3057
56	181	3010
57	182	2965
58	183	2921
59	183	2878
60	184	2837
61	184	2797
62	185	2759
63	186	2721
64	186	2685
65	187	2651
66	187	2616
67	188	2583
68	189	2551
69	189	2520
70	190	2490
71	190	2460
72	191	2432
73	192	2404
74	192	2377
75	193	2351
76	193	2325
77	194	2300
78	195	2275
79	195	2250
80	196	2227
81	196	2204
82	197	2179
83	197	2158
84	198	2137
85	199	2116
86	199	2096
87	200	2076
88	200	2057
89	201	2038
90	202	2019
91	202	2001
92	203	1983
93	203	1966
94	204	1948
95	205	1932
96	205	1915
97	206	1899
98	206	1883
99	207	1868
100	208	1853
101	208	1837
102	209	1823
103	209	1808
104	210	1794
105	211	1780
106	211	1767
107	212	1754
108	213	1741
109	213	1728
110	214	1715
111	214	1703
112	215	1691
113	216	1679
114	216	1667
115	217	1656
116	217	1643
117	218	1632
118	219	1621
119	219	1610
120	220	1599
121	220	1588
122	221	1577
123	221	1567
124	222	1557
125	223	1548
126	223	1537
127	224	1528
128	224	1518
129	225	1509
130	226	1499
131	226	1490
132	227	1481
133	227	1472
134	228	1464
135	229	1455
136	229	1447
137	230	1438
138	230	1430
139	231	1422
140	232	1414
141	232	1405
142	233	1397
143	233	1389
144	234	1381
145	235	1374
146	235	1367
147	236	1360
148	236	1353
149	237	1346
150	238	1339
151	238	1332
152	239	1325
153	240	1319
154	240	1312
155	241	1306
156	242	1299
157	242	1293
158	243	1286
159	243	1280
160	244	1273
161	244	1267
162	245	1260
163	246	1254
164	246	1248
165	247	1242
166	247	1236
167	248	1230
168	249	1225
169	249	1219
170	250	1213
171	250	1208
172	251	1202
173	252	1197
174	252	1191
175	253	1186
176	253	1180
177	254	1175
178	255	1170
179	255	1165
180	256	1160
181	257	1155
182	257	1150
183	258	1145
184	258	1140
185	259	1135
186	260	1130
187	260	1126
188	261	1121
189	261	1116
190	262	1111
191	262	1106
192	263	1102
193	264	1097
194	264	1092
195	265	1088
196	265	1083
197	266	1079
198	267	1074
199	267	1070
200	268	1065
201	268	1061
202	269	1057
203	269	1052
204	270	1048
205	270	1044
206	271	1040
207	272	1036
208	272	1032
209	273	1028
210	273	1024
211	274	1020
212	275	1016
213	275	1012
214	276	1008
215	276	1004
216	277	1000
217	277	996
218	278	993
219	279	989
220	279	986
221	280	982
222	280	978
223	281	975
224	282	971
225	282	967
226	283	964
227	283	960
228	284	957
229	284	953
230	285	950
231	286	947
232	286	943
233	287	940
234	287	937
235	288	933
236	288	930
237	289	926
238	290	923
239	290	920
240	291	917
241	291	913
242	292	910
243	293	908
244	293	905
245	294	902
246	295	899
247	295	896
248	296	893
249	296	890
250	297	887
251	298	886
252	299	884
253	300	881
254	300	878
255	301	876
256	302	873
257	302	871
258	303	868
259	304	865
260	304	862
261	305	860
262	306	857
263	306	855
264	307	853
265	308	850
266	308	848
267	309	845
268	310	843
269	310	840
270	311	837
271	312	835
272	312	833
273	313	831
274	314	828
275	314	826
276	315	823
277	316	821
278	316	819
279	317	816
280	318	814
281	319	813
282	320	811
283	321	809
284	321	807
285	322	804
286	323	802
287	323	800
288	324	798
289	325	796
290	325	794
291	326	791
292	327	789
293	327	787
294	328	785
295	329	783
296	330	781
297	330	779
298	331	777
299	332	775
300	333	773
301	334	772
302	334	770
303	335	768
304	336	766
305	337	764
306	337	762
307	338	760
308	339	758
309	339	756
310	340	754
311	341	751
312	341	749
313	342	747
314	342	745
315	343	743
316	344	741
317	344	739
318	345	737
319	346	735
320	346	733
321	347	731
322	348	729
323	348	727
324	349	725
325	350	724
326	351	722
327	351	720
328	352	719
329	353	717
330	353	715
331	355	714
332	355	712
333	356	710
334	357	709
335	357	707
336	358	705
337	359	703
338	359	701
339	360	699
340	361	697
341	361	695
342	362	694
343	363	692
344	363	690
345	364	689
346	365	687
347	365	685
348	366	683
349	367	682
350	367	680
351	368	678
352	369	676
353	369	675
354	370	673
355	371	671
356	371	669
357	372	668
358	373	666
359	374	665
360	374	663
361	375	661
362	376	660
363	377	659
364	378	658
365	379	657
366	380	656
367	381	655
368	382	653
369	383	652
370	383	650
371	384	649
372	385	647
373	386	647
374	387	645
375	388	644
376	388	642
377	389	640
378	390	639
379	390	637
380	392	637
381	393	635
382	393	634
383	394	632
384	395	631
385	395	629
386	396	628
387	397	626
388	398	625
389	398	623
390	399	622
391	400	620
392	400	619
393	401	617
394	402	616
395	403	614
396	404	613
397	405	612
398	406	612
399	407	610
400	408	609
401	408	608
402	409	607
403	410	605
404	411	604
405	412	603
406	413	602
407	413	600
408	414	599
409	415	598
410	416	596
411	417	595
412	417	593
413	418	592
414	418	590
415	419	588
416	420	587
417	420	585
418	421	584
419	422	582
420	422	581
421	423	579
422	423	578
423	424	576
424	425	575
425	425	573
426	426	572
427	427	571
428	428	569
429	428	568
430	429	567
431	430	565
432	431	564
433	431	563
434	432	561
435	433	560
436	433	558
437	434	557
438	435	556
439	436	555
440	436	553
441	437	552
442	437	550
443	438	549
444	439	547
445	440	546
446	440	545
447	441	544
448	442	542
449	443	541
450	443	540
451	444	538
452	444	537
453	445	536
454	446	534
455	447	533
456	447	531
457	448	530
458	448	529
459	449	527
460	449	526
461	450	524
462	451	523
463	451	521
464	452	520
465	453	519
466	453	518
467	454	516
468	455	515
469	455	513
470	456	512
471	456	510
472	457	509
473	457	508
474	458	506
475	459	505
476	459	504
477	460	502
478	461	501
479	461	500
480	462	498
481	463	497
482	463	496
483	464	494
484	464	493
485	465	492
486	466	491
487	466	489
488	467	488
489	468	487
490	468	485
491	469	484
492	469	483
493	470	481
494	470	480
495	471	479
496	472	477
497	472	476
498	473	475
499	473	473
500	474	472
501	475	471
502	475	469
503	476	468
504	476	467
505	477	466
506	478	464
507	478	463
508	479	462
509	479	461
510	480	459
511	481	458
512	481	457
513	482	456
514	482	454
515	483	453
516	484	452
517	484	450
518	485	449
519	486	448
520	486	447
521	487	446
522	487	444
523	488	443
524	489	442
525	489	441
526	490	440
527	490	438
528	491	437
529	492	436
530	492	435
531	493	433
532	493	432
533	494	431
534	494	430
535	495	428
536	496	427
537	496	426
538	497	425
539	497	424
540	498	422
541	499	421
542	499	420
543	500	419
544	500	418
545	501	416
546	502	415
547	502	414
548	503	413
549	503	412
550	504	411
551	505	409
552	505	408
553	506	407
554	506	406
555	507	405
556	508	404
557	508	402
558	509	401
559	509	400
560	510	399
561	511	398
562	511	397
563	512	395
564	512	394
565	513	393
566	513	392
567	514	391
568	515	390
569	515	389
570	516	387
571	516	386
572	517	385
573	518	384
574	518	383
575	519	382
576	519	381
577	520	380
578	521	378
579	521	377
580	522	376
581	523	375
582	523	374
583	524	373
584	525	372
585	525	371
586	526	370
587	527	369
588	528	368
589	528	367
590	529	366
591	529	365
592	530	364
593	531	363
594	532	362
595	532	361
596	533	360
597	533	358
598	534	357
599	535	356
600	536	355
601	536	354
602	537	353
603	537	352
604	538	351
605	539	350
606	539	349
607	540	348
608	541	347
609	541	346
610	542	345
611	543	344
612	543	343
613	544	342
614	545	341
615	546	340
616	546	339
617	547	338
618	548	337
619	548	336
620	549	335
621	550	334
622	551	333
623	551	332
624	552	331
625	553	330
626	554	329
627	555	328
628	555	327
629	556	326
630	557	325
631	557	324
632	558	323
633	559	322
634	559	321
635	560	320
636	561	319
637	562	318
638	562	318
639	563	317
640	564	316
641	565	315
642	566	314
643	566	313
644	567	312
645	568	311
646	568	310
